input,word_1,word_2,word_3,word_4,pos_1,pos_2,pos_3,pos_4,def_1,def_2,def_3,def_4,sent_1,sent_2,sent_3,sent_4,ipa,pic,speech
requin,"REQUIN,","Requin-,","Requinisme,",,subst. masc.,élém. de compos. entrant dans la constr. de subst. masc. pour désigner des squales de grande taille.,"subst. masc.,",,"Grand poisson de mer, vorace et redoutable, appartenant à l'ordre des squales, au corps allongé, au museau pointu, dont la bouche, largement fendue en arc, est située sur la face ventrale et comporte des mâchoires puissantes.",Fait de se montrer cupide.,Fait de se montrer cupide.,,"Puis il la lança [une perruche morte] à la mer, et le requin qui nous suivait la croqua comme une ablette (Loti, Mon frère Yves, 1883, p. 82).","Dans les Poissons nectoniques des eaux profondes se rangent les grands squales. Le Requin-Baleine (...), le Pèlerin (...), le Requin bleu (...), le Requin-Renard (...), le Requin-Taupe (Zool.,t. 4,1974,p. 1264 (Encyclop. de la Pléiade)).","Celui qui, lorsqu'il a trouvé quelque chose de bon à prendre, referme sa patte dessus (...) comme tout le monde, mais la referme avec élégance, la referme sans que cela se voie. C'est ce qu'on peut appeler le requinisme inapparent, le requinisme mondain (Duhamel, Désert Bièvres, 1937, p. 244).",,\ʁə.kɛ̃\,//upload.wikimedia.org/wikipedia/commons/thumb/5/56/White_shark.jpg/220px-White_shark.jpg,//upload.wikimedia.org/wikipedia/commons/transcoded/2/28/Fr-requin.ogg/Fr-requin.ogg.mp3
tortueux,"TORTUEUX, -EUSE,","Tortueusement,",,,adj.,adv.,,,Qui présente une suite de courbes orientées dans différentes directions.,D'une manière tortueuse; selon un itinéraire tortueux.,,,"Un petit bouquet d'arbres composé de deux ou trois tilleuls, d'un chêne vert, de sept ou huit tortueuses charmilles, reste d'un bois planté depuis des siècles (Lamart., Raphaël, 1849, p. 306).","Son esprit droit d'origine (...) le mettait en garde contre de pareils dangers, − même attaquant de biais, même insinués tortueusement par telle feuille doucereuse (Verlaine, 
                                 Œuvres compl., t. 4, L. Leclercq, 1886, p. 102).",,,\tɔʁ.ty.ø\,,//upload.wikimedia.org/wikipedia/commons/transcoded/9/9a/LL-Q150_%28fra%29-VictorDtmtc-tortueux.wav/LL-Q150_%28fra%29-VictorDtmtc-tortueux.wav.mp3
frisette,"FRISETTE1,","Frisotte,","frisottis,",,subst. fém.,"subst. fém.,",subst. masc.,,Petite boucle de cheveux frisés.,,,,"Il a fini par m'embrasser vite, là, sur le cou, près des frisettes qu'il mordait en grognant (Huysmans, Sœurs Vatard,1879, p. 154).","Avec un rien de frisottis dans ses bandeaux, autrefois tout plats (Goncourt, Journal,1895, p. 368).","Avec un rien de frisottis dans ses bandeaux, autrefois tout plats (Goncourt, Journal,1895, p. 368).",,\fʁi.zɛt\,,
inintelligible,"ININTELLIGIBLE,","Inintelligibilité,","Inintelligiblement,",,adj.,subst. fém.,adv.,,Qui n'est pas (ou qui est mal) saisi et identifié par l'intelligence ou l'ouïe; qui n'est pas ou qui est peu intelligible.,Caractère inintelligible.,De manière inintelligible.,,"Dieu [pour Hobbes] étant inintelligible, puisqu'il est pour nous sans qualités, surpasse toutes nos idées et toutes nos recherches (Cousin, Hist. philos. mod., t. 3, 1847, p. 247).","Quels sont les résultats de cette analyse [de la jalousie chez Swann dans Proust]? L'inintelligibilité du psychique est-elle levée? (Sartre, Être et Néant,1943, p. 217).","Cette apologétique de pure logique historique, inintelligiblement jaillie de ses scepticismes accablés (Malègue, Augustin, t. 2, 1933, p. 447).",,\i.nɛ̃.tɛ.li.ʒibl\,,//upload.wikimedia.org/wikipedia/commons/transcoded/f/ff/LL-Q150_%28fra%29-DSwissK-inintelligible.wav/LL-Q150_%28fra%29-DSwissK-inintelligible.wav.mp3
pioche,"PIOCHE,","Piochon,",,,subst. fém.,subst. masc.,,,"Outil à main pour creuser le sol ou défoncer, composé d'un fer recourbé possédant une extrémité pointue et l'autre tranchante, ou deux extrémités pointues, et dont le milieu est percé d'un oeil dans lequel est fixé un manche en bois.","Outil de jardinage à manche court, utilisé pour le binage.",,,"Il introduisit dans une des fissures la pointe de la pioche, pesa sur le manche et vit avec joie la pierre rouler comme sur des gonds et tomber à ses pieds (Dumas père, Monte-Cristo,t.1, 1846, p.293).","De même que les bêches, les serfouettes ou piochons peuvent être pleines ou à dents (Jardinage [guide pratique], Paris, Édilec, 1976, p.21).",,,\pjɔʃ\,//upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Pickaxe.jpg/180px-Pickaxe.jpg,//upload.wikimedia.org/wikipedia/commons/transcoded/1/11/Fr-pioche.ogg/Fr-pioche.ogg.mp3
gracile,"GRACILE,","Gracilement,",,,adj.,adv.,,,"Qui est délicat, fragile, tout en restant gracieux.",D'une manière gracile.,,,"Son front et sa nuque Gracile (Moréas, Cantil.,1886, p. 104).","Le côté lumineux, gracilement pur du caractère de Mireille (Cendrars, Dan Yack, Confess. Dan Yack, 1929, p. 242).",,,\ɡʁa.sil\,,
tatou,"TATOU,",,,,subst. masc.,,,,"Mammifère édenté xénarthre, qui vit en Amérique Centrale et en Amérique du Sud, et dont le corps, recouvert d'une carapace de lames cornées articulées, peut se rouler en boule.",,,,"Quant au tatou, c'est un animal précieux, qui porte sa rôtissoire avec lui, et on le plaça dans sa propre carapace sur des charbons ardents (Verne, Enf. cap. Grant, t. 1, 1868, p. 172).",,,,\ta.tu\,//upload.wikimedia.org/wikipedia/commons/thumb/7/7f/9-banded-armadillo.jpg/220px-9-banded-armadillo.jpg,//upload.wikimedia.org/wikipedia/commons/transcoded/c/c7/LL-Q150_%28fra%29-WikiLucas00-tatou.wav/LL-Q150_%28fra%29-WikiLucas00-tatou.wav.mp3
gourgandine,"GOURGANDINE,","Gourgandin,","Gourgandinage,","Gourgandiner,",subst. fém.,subst. masc.,subst. masc.,verbe intrans.,"Femme légère, facile, dévergondée.",",,Coureur de filles`` (France 1907).",Conduite de gourgandine.,Se conduire en gourgandine.,"Cette femme impie, mademoiselle des Touches, est venue gâter bien des choses! (...) − Oh! une gaupe, une gourgandine s'écria le curé (Balzac, Béatrix,1839, p. 50).","Ce grave amateur de mollets, cette espèce de fakir, ce voyeur étrange, est généralement pris pour un gourgandin (Richepin, Pavé,1883, p. 262).","Les domestiques (...) détestaient cette enfant du ruisseau devenue la femme de leur maître. Que n'auraient-ils donné pour la prendre en gourgandinage! (A. Daudet, Pte paroisse,1895, p. 55).","Des drôlesses qui ne font que gourgandiner (Rigaud, Dict. arg. mod.,1881, p. 201).",\ɡuʁ.ɡɑ̃.din\,//upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Agn%C3%A8s_Sorel_-_anonyme_XVIe.jpg/220px-Agn%C3%A8s_Sorel_-_anonyme_XVIe.jpg,//upload.wikimedia.org/wikipedia/commons/transcoded/c/c8/LL-Q150_%28fra%29-Lepticed7-gourgandine.wav/LL-Q150_%28fra%29-Lepticed7-gourgandine.wav.mp3
fouineur,"FOUINEUR, EUSE,",,,,adj.,,,,Qui aime fouiner; très curieux.,,,,"Roubaud devient très fouineur et nous épluche de près (Colette, Cl. école,1900, p. 211).",,,,\fui.nœʁ\,,
nimbe,"NIMBE,",,,,subst. masc.,,,,"Cercle, disque de lumière que les peintres et les sculpteurs placent, depuis l'Antiquité égyptienne, autour de la tête des personnages sacrés, des héros divinisés, de Dieu ou des Saints.",,,,"Blanche sous le lin chaste et rude, illuminée Du nimbe d'or flottant sur sa tête inclinée, La Vierge d'Orient, une ombre dans les yeux, Pressait entre ses bras son fils mystérieux (Leconte de Lisle, Poèmes barb., 1878, p.93).",,,,\nɛ̃b\,//upload.wikimedia.org/wikipedia/commons/thumb/f/f8/San_Francesco.jpg/220px-San_Francesco.jpg,
taquiner,"TAQUINER,","Taquinant, -ante,","Taquineur, -euse,","Taquinage,",verbe trans.,part. prés. en empl. adj.,"subst.,","subst. masc.,",Contrarier par jeu et malice quelqu'un par des gestes ou des paroles sans importance mais répétés; provoquer quelqu'un par jeu pour lui faire perdre son calme.,"Qui taquine, agace, tourmente.","Celui, celle qui taquine, qui a l'habitude de taquiner.",Action de taquiner.,"Lorsque Lazare la négligeait un instant (...), elle devenait si malheureuse, qu'elle se mettait à le taquiner, à le provoquer, préférant le danger à l'oubli (Zola, Joie de vivre, 1884, p. 942).","Par les sentiers battus, qui font mille zigzags taquinants, il fallait un bon quart d'heure (Hugo, Misér., t. 2, 1862, p. 594).","La première fois qu'il leva la tête, le taquineur de goujons aperçut mon drapeau blanc (Vialar, Pt jour, 1947, p. 331).","Vous en êtes encore aux petits taquinages, aux jalousies à faux, aux brouilles, aux coups d'épingles. À quoi cela sert-il? (Balzac, Ptes mis., 1846, p. 202).",\ta.ki.ne\,,//upload.wikimedia.org/wikipedia/commons/transcoded/e/e5/Fr-taquiner.ogg/Fr-taquiner.ogg.mp3
pourvu,"POURVOIR,",,,,verbe trans.,,,,Mettre quelqu'un en possession de ce qui lui est nécessaire ou utile.,,,,"On y avait suivi le métier des armes jusqu'à son père, Joachim, qui se fit pourvoir d'une charge de conseiller au parlement de Bretagne (Valéry,Variété V, 1944, p.211).",,,,\puʁ.vy\,,//upload.wikimedia.org/wikipedia/commons/transcoded/2/20/LL-Q150_%28fra%29-DenisdeShawi-pourvu_%28verbe%29.wav/LL-Q150_%28fra%29-DenisdeShawi-pourvu_%28verbe%29.wav.mp3
démentir,"DÉMENTIR,",,,,verbe trans.,,,,Contredire quelqu'un en affirmant que ses paroles sont mensongères ou erronées.,,,,"Il (...) brodait tellement autour de la vérité que (...) le héros dut démentir son barde (Radiguet, Bal,1923, p. 180):",,,,\de.mɑ̃.tiʁ\,,//upload.wikimedia.org/wikipedia/commons/transcoded/4/43/LL-Q150_%28fra%29-Lyoko%C3%AF-d%C3%A9mentir.wav/LL-Q150_%28fra%29-Lyoko%C3%AF-d%C3%A9mentir.wav.mp3
prêter,"PRÊTER,","Prêter,",,,verbe,subst. masc.,,,Mettre une chose à la disposition de quelqu'un à condition qu'il la rendra.,Action de prêter.,,,"Le premier gredin venu (...) devient notre seigneur et maître le jour où nous lui empruntons cent sous, qu'il nous prête après nous avoir fait dépenser pour cent écus de ruses ou d'humilité (Murger,Scènes vie boh., 1851, p.286).",,,,\pʁe.te\,,//upload.wikimedia.org/wikipedia/commons/transcoded/8/86/Fr-pr%C3%AAter.ogg/Fr-pr%C3%AAter.ogg.mp3
fendre,"FENDRE,",Fend-le-vent,"Fendif,",,verbe trans.,"subst. masc.,",adj.,,"Séparer (le plus souvent par un coup, un choc) partiellement ou totalement un corps en plusieurs parties, généralement dans le sens de la longueur.",Qui se fend trop facilement.,Qui se fend trop facilement.,,"Ses poings serrés semblaient déjà fendre les cailloux rebelles (Zola, E. Rougon,1876, p. 150).","Je la trouve folle à mener aux loges, elle, de verser des larmes pour un fend-le-vent qui prenait son argent et qui allait le boire avec des rien-de-drôle (Guèvremont, Survenant,1945, p. 268).","On se décida pour le sapin, bois un peu « fendif », suivant l'expression des charpentiers, mais facile à travailler (Verne, Île myst.,1874, p. 301).",,\fɑ̃dʁ\,//upload.wikimedia.org/wikipedia/commons/thumb/1/11/%C5%A0palek_na_%C5%A1t%C3%ADp%C3%A1n%C3%AD.jpg/220px-%C5%A0palek_na_%C5%A1t%C3%ADp%C3%A1n%C3%AD.jpg,//upload.wikimedia.org/wikipedia/commons/transcoded/6/6a/Fr-fendre.ogg/Fr-fendre.ogg.mp3
besogne,"BESOGNE,",,,,subst. fém.,,,,Ensemble de tâches (plus ou moins pénibles) que l'on s'impose ou qui sont imposées à soi.,,,,"1. Il [Ch. Bovary] accomplissait sa petite tâche quotidienne à la manière du cheval de manège, qui tourne en place les yeux bandés, ignorant de la besogne qu'il broie.
Flaubert, Madame Bovary,t. 1, 1857, p. 9.",,,,\bə.zɔɲ\,,//upload.wikimedia.org/wikipedia/commons/transcoded/9/9a/Fr-besogne.ogg/Fr-besogne.ogg.mp3
clapoter,"CLAPOTER,",,,,verbe intrans.,,,,Être agité de mouvements divers constitués par des ondes de vagues courtes et pressées qui s'entrechoquent en faisant un bruit caractéristique.,,,,"On entendait autour du gouvernail l'eau clapoter plus clair (Flaubert, Par les champs et par les grèves,1848, p. 246):",,,,\kla.pɔ.te\,,//upload.wikimedia.org/wikipedia/commons/transcoded/6/6e/Fr-clapoter.ogg/Fr-clapoter.ogg.mp3
moignon,"MOIGNON,",,,,subst. masc.,,,,Partie restante d'un membre partiellement amputé ou arraché.,,,,"Je devrais te couper les quatre membres, traître, Et te laisser ramper sur tes moignons sanglants (Hugo, Légende, t.1, 1859, p.390).",,,,\mo.ɲɔ̃\,,//upload.wikimedia.org/wikipedia/commons/transcoded/5/56/LL-Q150_%28fra%29-VictorDtmtc-moignon.wav/LL-Q150_%28fra%29-VictorDtmtc-moignon.wav.mp3
apeuré,"APEURER,",,,,verbe trans.,,,,"Faire peur, effrayer.",,,,"1. Cette sorte de mise en demeure que lui avait brusquement adressée l'abbé Gevresin, de clore ses litiges (...) l'affolait, en l'apeurant [Durtal].
Huysmans, La Cathédrale,1898, p. 343.",,,,\a.pœ.ʁe\,,//upload.wikimedia.org/wikipedia/commons/transcoded/0/02/LL-Q150_%28fra%29-VictorDtmtc-apeur%C3%A9.wav/LL-Q150_%28fra%29-VictorDtmtc-apeur%C3%A9.wav.mp3
hâbleur,"HÂBLEUR, -EUSE,","Hâblard, -arde,",,,adj. et subst.,"adj.,",,,"(Celui, celle) qui a coutume de hâbler, de parler beaucoup, en exagérant ses mérites et en déformant la réalité.",,,,"Ce garçon, autrefois hableur et joyeux comme ceux de sa race, semblait tombé maintenant dans un abattement maladif et profond (Du camp, Mém. suic.,1853, p. 169).","La même horde lourde, bouseuse, titubante d'un bobard à l'autre, hâblarde toujours, trafiqueuse, malveillante (Céline, Voyage,1932p. 427).",,,\ɑ.blœʁ\,,//upload.wikimedia.org/wikipedia/commons/transcoded/2/23/LL-Q150_%28fra%29-DenisdeShawi-h%C3%A2bleur.wav/LL-Q150_%28fra%29-DenisdeShawi-h%C3%A2bleur.wav.mp3
if,"IF,",,,,subst. masc.,,,,"Arbre à feuilles persistantes longues, étroites, vénéneuses, d'un vert très sombre, à fausses baies rouges, qui est utilisé comme arbre d'ornement dans les parcs, les jardins, les cimetières.",,,,"Elle voyait déjà ses ifs taillés en murailles, en boules et en pyramides (A. France, Putois,1904, p. 66).",,,,\if\,//upload.wikimedia.org/wikipedia/commons/thumb/3/31/Taxus_baccata_MHNT.jpg/200px-Taxus_baccata_MHNT.jpg,//upload.wikimedia.org/wikipedia/commons/transcoded/e/e7/Fr-if.ogg/Fr-if.ogg.mp3
bâillon,"BÂILLON,",,,,subst. masc.,,,,"Morceau de bois ou de fer, tampon d'étoffe que quelqu'un introduit de force dans la bouche d'une personne qu'il veut empêcher de parler ou de crier; morceau d'étoffe noué sur la bouche avec la même intention.",,,,"1. Il s'était vu saisi par des domestiques, garrotté, conduit dans une cave avec un bâillon dans la bouche.
Stendhal, Le Rouge et le noir,1830, p. 335.",,,,\bɑ.jɔ̃\,,//upload.wikimedia.org/wikipedia/commons/transcoded/9/99/LL-Q150_%28fra%29-LoquaxFR-b%C3%A2illon.wav/LL-Q150_%28fra%29-LoquaxFR-b%C3%A2illon.wav.mp3
volute,"VOLUTE,","Volutidés,","Volution,","Voluter,",subst. fém.,"subst. masc. plur.,","subst. fém.,","verbe,","Motif d'ornementation formé d'un enroulement en spirale, caractéristique notamment des chapiteaux ioniques et corinthiens.",Famille de mollusques gastéropodes dont le type est la volute.,Enrouler en volute.,Enrouler en volute.,"[Les] chapiteaux [de la tour de l'église de Germigny] n'offrent plus la distribution de feuilles du corinthien, les volutes manquent (Lenoir, Archit. monast., 1856, p. 166).","Famille des Volutidés (coquille turriculée ou enroulée − ouverture échancrée en avant − columelle plissée obliquement) (A. Granger, Hist. nat. de la Fr., t. 6, 1884, p. 91).","Il rêvait d'être le Champollion des événements historiques envisagés comme les hiéroglyphes divins d'une révélation par les symboles (...). Le pauvre Leverdier en avait tremblé dans sa peau dès la première ouverture, puis les volutions oratoires de son prophète l'avaient insensiblement enroulé à cette conception qu'il avait fini par juger sublime (Bloy, Désesp., 1886, p. 130).","Il n'y avait que lui pour voluter un accroche-cœur noir [à ses clientes] (D'Esparbès, Lég. outil, 1903, p. 202).",\vɔ.lyt\,,//upload.wikimedia.org/wikipedia/commons/transcoded/d/db/LL-Q150_%28fra%29-VictorDtmtc-volute.wav/LL-Q150_%28fra%29-VictorDtmtc-volute.wav.mp3
fuyant,"FUIR,","Fuyeuse,",,,verbe.,adj. fém.,,,"Se sauver en toute hâte pour échapper à une personne, à une chose, importunes ou menaçantes.","Qui fuit, fuyarde.",,,"Il ne s'agit pas de nous défendre, il s'agit de fuir (Dumas père, Tour Nesle,1832, I, tabl. 2, 5, p. 22).","Salomé, fuyeuse de fêtes nationales, écoutait la mer familière des belles nuits (Laforgue, Moral. légend.,1887, p. 173).",,,\fɥi.jɑ̃\,,//upload.wikimedia.org/wikipedia/commons/transcoded/4/44/LL-Q150_%28fra%29-VictorDtmtc-fuyant.wav/LL-Q150_%28fra%29-VictorDtmtc-fuyant.wav.mp3
huées,"HUÉE,",,,,subst. fém.,,,,"Cris poussés par des chasseurs, des pêcheurs pour faire lever, rabattre, effrayer le gibier, le poisson. (Dict. xixeet xxes.).",,,,"La colonne (...) progressait sous la huée des putains qui nous bombardaient des étages avec tout ce qui leur tombait sous la main (Cendrars, Bourlinguer,1948, p. 265) :",,,,\ɥe\,,
dénicher,"DÉNICHER1,",,,,verbe.,,,,"Ôter, faire sortir du nid.",,,,"Il va là-haut dénicher les vieux nids d'hirondelles (Renard, Journal,1906, p. 1083).",,,,\de.ni.ʃe\,,//upload.wikimedia.org/wikipedia/commons/transcoded/5/5c/LL-Q150_%28fra%29-Lyoko%C3%AF-d%C3%A9nicher.wav/LL-Q150_%28fra%29-Lyoko%C3%AF-d%C3%A9nicher.wav.mp3
nid,"NID,","Nidulaire,",,,subst. masc.,"subst. fém.,",,,"Abri, constitué de matériaux divers, de forme variable selon les espèces, que les oiseaux construisent ou aménagent pour y pondre, couver leurs oeufs et élever leurs petits.",",,Genre de champignons gastéromycètes`` (Bouillet 1859).",,,"On ne peut dire que la forme du nid d'un oiseau dépend de la substance qu'il emploie. Évidemment, non; c'est de la manière dont il l'emploie (Cl. Bernard, Notes, 1860, p.98).",,,,\ɡ\,//upload.wikimedia.org/wikipedia/commons/thumb/7/78/Amselnest_lokilech.jpg/220px-Amselnest_lokilech.jpg,//upload.wikimedia.org/wikipedia/commons/transcoded/5/54/Fr-nid.ogg/Fr-nid.ogg.mp3
nageoire,"NAGEOIRE,",,,,subst. fém.,,,,"Chacun des appendices membraneux, tendus de rayons, s'insérant sur le dos, le ventre, la queue des poissons ou chacun des membres modifiés (chez les poissons ou les mammifères marins) grâce auxquels ceux-ci se meuvent dans l'eau.",,,,"Dans la tortue de mer, ces muscles [de l'avant-bras] sont presque tous aponévrotiques, et ne produisent qu'un très-petit mouvement, le membre étant changé en nageoire comme dans les Cétacés (Cuvier, Anat. comp., t.1, 1805, p.300).",,,,\na.ʒwaʁ\,//upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Lampanyctodes_hectoris_%28Hector%27s_lanternfish%292.png/220px-Lampanyctodes_hectoris_%28Hector%27s_lanternfish%292.png,//upload.wikimedia.org/wikipedia/commons/transcoded/9/9c/Fr-nageoire.ogg/Fr-nageoire.ogg.mp3
cuisse,"CUISSE,",,,,subst. fém.,,,,Partie du corps.,,,,"Une longue et rapide descente fatigue davantage les muscles des cuisses et des jambes qui portent tout le poids du corps (Maine de Biran, Journal,1816, p. 169).",,,,\kɥis\,//upload.wikimedia.org/wikipedia/commons/thumb/6/61/Frog_legs.jpg/220px-Frog_legs.jpg,//upload.wikimedia.org/wikipedia/commons/transcoded/d/d3/Fr-cuisse.ogg/Fr-cuisse.ogg.mp3
méninge,"MÉNINGE,","Méningé, -ée,","Méningiome,",,subst. fém.,adj.,subst. masc.,,Chacune des trois membranes superposées qui enveloppent l'encéphale et la moelle épinière.,Relatif aux méninges.,"Tumeur des méninges, relativement bénigne, se développant très lentement et entraînant une compression du cerveau.",,"Le trou occipital (...) par lequel s'engagent: la moelle allongée et ses méninges (G. Gérard,Anat. hum.,1912, p. 46).","Dans les interventions abdominales, on a utilisé une anesthésie rachidienne en injectant, par ponction lombaire, un dérivé de la cocaïne dans le sac méningé qui entoure la moelle épinière et l'origine des nerfs auxquels elle donne naissance (Bariéty, Coury,Hist. méd.,1963, p. 780).",Les méningiomes intracrâniens sont généralement mis en évidence par l'artériographie (Lar. Méd.t. 21972).,,\me.nɛ̃ʒ\,,
